#Utama, Raditya, and Jorge Piekarewicz. "Refining mass formulas for astrophysical applications: A Bayesian neural network approach." Physical Review C 96.4 (2017): 044308.
#DZ10
#   BNN-Refined Duflo-Zuker Model (6931 nuclei)                     
#   -------------------------------------------                     
#    Z    N         B(MeV)              S1p(MeV)            S2p(MeV)
   85  138   1710.496 0.390D+00     6.623 0.321D-01    15.488 0.701D-01
   86  138   1718.672 0.380D+00     8.176 0.285D-01    14.799 0.569D-01
   87  138   1724.523 0.351D+00     5.850 0.303D-01    14.026 0.558D-01
   88  138   1731.832 0.329D+00     7.308 0.328D-01    13.158 0.615D-01
   89  138   1736.754 0.338D+00     4.921 0.323D-01    12.229 0.639D-01
   90  138   1743.105 0.374D+00     6.351 0.310D-01    11.272 0.616D-01
   91  138   1747.104 0.431D+00     3.999 0.324D-01    10.350 0.616D-01
   92  138   1752.556 0.507D+00     5.452 0.347D-01     9.451 0.661D-01
   52  139   1166.717 0.126D+02     0.000 0.000D+00     0.000 0.000D+00
   53  139   1192.902 0.125D+02    26.191 0.190D+00     0.000 0.000D+00
   54  139   1219.495 0.124D+02    26.600 0.175D+00    52.790 0.363D+00
   55  139   1244.079 0.122D+02    24.590 0.158D+00    51.190 0.329D+00
   56  139   1269.027 0.119D+02    24.953 0.152D+00    49.544 0.304D+00
   57  139   1291.888 0.116D+02    22.865 0.154D+00    47.818 0.303D+00
   58  139   1315.168 0.114D+02    23.281 0.134D+00    46.146 0.283D+00
   59  139   1336.461 0.116D+02    21.294 0.132D+00    44.575 0.247D+00
   60  139   1358.369 0.121D+02    21.906 0.159D+00    43.200 0.283D+00
   61  139   1378.376 0.125D+02    20.005 0.151D+00    41.911 0.307D+00
   62  139   1399.019 0.126D+02    20.640 0.133D+00    40.645 0.275D+00
   63  139   1417.729 0.125D+02    18.706 0.145D+00    39.346 0.265D+00
   64  139   1437.091 0.120D+02    19.357 0.177D+00    38.064 0.314D+00
   65  139   1454.567 0.114D+02    17.471 0.207D+00    36.829 0.380D+00
   66  139   1472.795 0.106D+02    18.224 0.223D+00    35.695 0.427D+00
   67  139   1489.191 0.990D+01    16.391 0.219D+00    34.615 0.440D+00
   68  139   1506.444 0.921D+01    17.250 0.202D+00    33.641 0.418D+00
   69  139   1521.926 0.860D+01    15.479 0.181D+00    32.729 0.379D+00
   70  139   1538.339 0.805D+01    16.412 0.176D+00    31.891 0.351D+00
   71  139   1553.070 0.757D+01    14.732 0.191D+00    31.144 0.362D+00
   72  139   1568.832 0.717D+01    15.765 0.206D+00    30.497 0.395D+00
   73  139   1582.740 0.682D+01    13.913 0.197D+00    29.677 0.400D+00
   74  139   1597.525 0.640D+01    14.789 0.173D+00    28.702 0.363D+00
   75  139   1611.096 0.583D+01    13.577 0.166D+00    28.366 0.329D+00
   76  139   1625.342 0.507D+01    14.250 0.180D+00    27.826 0.338D+00
   77  139   1637.317 0.418D+01    11.979 0.200D+00    26.229 0.377D+00
   78  139   1649.929 0.327D+01    12.617 0.204D+00    24.596 0.403D+00
   79  139   1660.369 0.241D+01    10.444 0.193D+00    23.060 0.397D+00
   80  139   1671.615 0.166D+01    11.251 0.174D+00    21.694 0.367D+00
   81  139   1680.966 0.106D+01     9.353 0.147D+00    20.604 0.321D+00
   82  139   1690.926 0.630D+00     9.962 0.116D+00    19.315 0.262D+00
   83  139   1698.687 0.416D+00     7.761 0.828D-01    17.723 0.197D+00
   84  139   1707.562 0.376D+00     8.874 0.549D-01    16.635 0.135D+00
   85  139   1714.656 0.395D+00     7.093 0.368D-01    15.966 0.883D-01
   86  139   1722.859 0.400D+00     8.202 0.285D-01    15.295 0.611D-01
   87  139   1729.199 0.375D+00     6.340 0.291D-01    14.542 0.537D-01
   88  139   1736.574 0.344D+00     7.374 0.334D-01    13.714 0.604D-01
   89  139   1741.998 0.341D+00     5.423 0.351D-01    12.797 0.673D-01
   90  139   1748.418 0.375D+00     6.420 0.339D-01    11.843 0.676D-01
   91  139   1752.888 0.430D+00     4.470 0.334D-01    10.889 0.655D-01
   92  139   1758.396 0.502D+00     5.508 0.356D-01     9.977 0.675D-01
   52  140   1163.730 0.129D+02     0.000 0.000D+00     0.000 0.000D+00
   53  140   1189.774 0.127D+02    26.049 0.188D+00     0.000 0.000D+00
   54  140   1217.209 0.125D+02    27.442 0.175D+00    53.491 0.361D+00
   55  140   1241.681 0.123D+02    24.478 0.160D+00    51.920 0.333D+00
   56  140   1267.456 0.120D+02    25.780 0.156D+00    50.258 0.311D+00
   57  140   1290.228 0.116D+02    22.776 0.160D+00    48.556 0.313D+00
   58  140   1314.298 0.114D+02    24.071 0.141D+00    46.847 0.296D+00
   59  140   1335.516 0.115D+02    21.218 0.130D+00    45.290 0.251D+00
   60  140   1358.173 0.120D+02    22.657 0.160D+00    43.875 0.279D+00
   61  140   1378.100 0.124D+02    19.924 0.158D+00    42.581 0.314D+00
   62  140   1399.470 0.127D+02    21.367 0.135D+00    41.291 0.285D+00
   63  140   1418.099 0.126D+02    18.626 0.137D+00    39.993 0.259D+00
   64  140   1438.136 0.122D+02    20.033 0.166D+00    38.658 0.293D+00
   65  140   1455.500 0.116D+02    17.360 0.198D+00    37.393 0.359D+00
   66  140   1474.341 0.109D+02    18.837 0.220D+00    36.197 0.415D+00
   67  140   1490.605 0.102D+02    16.260 0.223D+00    35.096 0.440D+00
   68  140   1508.414 0.950D+01    17.805 0.209D+00    34.065 0.430D+00
   69  140   1523.736 0.888D+01    15.319 0.187D+00    33.124 0.393D+00
   70  140   1540.644 0.832D+01    16.906 0.173D+00    32.225 0.355D+00
   71  140   1555.189 0.784D+01    14.545 0.182D+00    31.451 0.349D+00
   72  140   1571.425 0.743D+01    16.237 0.202D+00    30.783 0.381D+00
   73  140   1585.209 0.710D+01    13.788 0.205D+00    30.025 0.405D+00
   74  140   1600.538 0.676D+01    15.334 0.183D+00    29.121 0.382D+00
   75  140   1613.984 0.629D+01    13.450 0.164D+00    28.784 0.337D+00
   76  140   1628.769 0.564D+01    14.789 0.169D+00    28.239 0.322D+00
   77  140   1640.752 0.480D+01    11.988 0.191D+00    26.777 0.354D+00
   78  140   1653.976 0.389D+01    13.227 0.205D+00    25.215 0.394D+00
   79  140   1664.531 0.300D+01    10.560 0.201D+00    23.787 0.405D+00
   80  140   1676.422 0.218D+01    11.895 0.187D+00    22.455 0.387D+00
   81  140   1685.721 0.147D+01     9.302 0.166D+00    21.197 0.353D+00
   82  140   1695.442 0.902D+00     9.724 0.139D+00    19.026 0.306D+00
   83  140   1703.248 0.527D+00     7.808 0.108D+00    17.532 0.246D+00
   84  140   1712.623 0.378D+00     9.374 0.754D-01    17.182 0.182D+00
   85  140   1719.737 0.386D+00     7.113 0.487D-01    16.487 0.122D+00
   86  140   1728.409 0.411D+00     8.671 0.317D-01    15.784 0.768D-01
   87  140   1734.808 0.401D+00     6.399 0.272D-01    15.070 0.538D-01
   88  140   1742.670 0.366D+00     7.862 0.321D-01    14.261 0.561D-01
   89  140   1748.172 0.347D+00     5.502 0.367D-01    13.364 0.674D-01
   90  140   1755.082 0.371D+00     6.908 0.372D-01    12.410 0.728D-01
   91  140   1759.635 0.426D+00     4.552 0.360D-01    11.461 0.716D-01
   92  140   1765.598 0.498D+00     5.964 0.367D-01    10.516 0.709D-01
   53  141   1186.336 0.129D+02     0.000 0.000D+00     0.000 0.000D+00
   54  141   1213.613 0.127D+02    27.283 0.174D+00     0.000 0.000D+00
   55  141   1238.894 0.124D+02    25.286 0.162D+00    52.569 0.334D+00
   56  141   1264.544 0.121D+02    25.655 0.160D+00    50.942 0.318D+00
   57  141   1288.109 0.116D+02    23.568 0.167D+00    49.223 0.323D+00
   58  141   1312.070 0.113D+02    23.962 0.148D+00    47.530 0.311D+00
   59  141   1334.053 0.114D+02    21.984 0.129D+00    45.946 0.259D+00
   60  141   1356.601 0.118D+02    22.549 0.159D+00    44.532 0.274D+00
   61  141   1377.258 0.123D+02    20.655 0.164D+00    43.204 0.319D+00
   62  141   1398.518 0.126D+02    21.257 0.139D+00    41.912 0.297D+00
   63  141   1417.841 0.127D+02    19.319 0.131D+00    40.576 0.258D+00
   64  141   1437.758 0.124D+02    19.914 0.154D+00    39.233 0.275D+00
   65  141   1455.767 0.119D+02    18.005 0.188D+00    37.918 0.336D+00
   66  141   1474.456 0.112D+02    18.685 0.215D+00    36.689 0.399D+00
   67  141   1491.304 0.105D+02    16.843 0.225D+00    35.528 0.437D+00
   68  141   1508.943 0.978D+01    17.635 0.216D+00    34.478 0.438D+00
   69  141   1524.792 0.914D+01    15.846 0.194D+00    33.481 0.407D+00
   70  141   1541.510 0.858D+01    16.717 0.175D+00    32.562 0.364D+00
   71  141   1556.522 0.809D+01    15.011 0.175D+00    31.728 0.343D+00
   72  141   1572.553 0.767D+01    16.031 0.194D+00    31.042 0.364D+00
   73  141   1586.798 0.734D+01    14.248 0.208D+00    30.279 0.400D+00
   74  141   1602.016 0.705D+01    15.223 0.194D+00    29.471 0.398D+00
   75  141   1616.002 0.668D+01    13.991 0.170D+00    29.214 0.356D+00
   76  141   1630.777 0.614D+01    14.779 0.160D+00    28.770 0.318D+00
   77  141   1643.373 0.539D+01    12.600 0.179D+00    27.379 0.330D+00
   78  141   1656.633 0.451D+01    13.264 0.200D+00    25.864 0.376D+00
   79  141   1667.748 0.361D+01    11.119 0.204D+00    24.383 0.403D+00
   80  141   1679.630 0.275D+01    11.886 0.196D+00    23.006 0.399D+00
   81  141   1689.407 0.196D+01     9.781 0.181D+00    21.668 0.376D+00
   82  141   1698.462 0.128D+01     9.058 0.160D+00    18.839 0.340D+00
   83  141   1706.776 0.761D+00     8.316 0.132D+00    17.374 0.291D+00
   84  141   1716.157 0.444D+00     9.382 0.100D+00    17.698 0.231D+00
   85  141   1723.748 0.369D+00     7.591 0.683D-01    16.973 0.167D+00
   86  141   1732.425 0.406D+00     8.677 0.423D-01    16.268 0.108D+00
   87  141   1739.294 0.422D+00     6.869 0.276D-01    15.546 0.655D-01
   88  141   1747.186 0.396D+00     7.892 0.289D-01    14.760 0.513D-01
   89  141   1753.181 0.362D+00     5.995 0.361D-01    13.887 0.630D-01
   90  141   1760.148 0.368D+00     6.966 0.398D-01    12.962 0.748D-01
   91  141   1765.165 0.418D+00     5.016 0.395D-01    11.983 0.780D-01
   92  141   1771.186 0.491D+00     6.020 0.389D-01    11.036 0.768D-01
   54  142   1211.108 0.129D+02     0.000 0.000D+00     0.000 0.000D+00
   55  142   1236.257 0.126D+02    25.154 0.164D+00     0.000 0.000D+00
   56  142   1262.723 0.121D+02    26.471 0.164D+00    51.625 0.323D+00
   57  142   1286.190 0.116D+02    23.470 0.173D+00    49.941 0.333D+00
   58  142   1310.952 0.113D+02    24.764 0.157D+00    48.233 0.326D+00
   59  142   1332.832 0.113D+02    21.880 0.130D+00    46.644 0.270D+00
   60  142   1356.142 0.117D+02    23.311 0.157D+00    45.191 0.270D+00
   61  142   1376.711 0.122D+02    20.567 0.169D+00    43.878 0.323D+00
   62  142   1398.703 0.126D+02    21.989 0.145D+00    42.556 0.309D+00
   63  142   1417.933 0.127D+02    19.227 0.128D+00    41.216 0.262D+00
   64  142   1438.546 0.125D+02    20.610 0.143D+00    39.836 0.260D+00
   65  142   1456.436 0.121D+02    17.885 0.177D+00    38.495 0.313D+00
   66  142   1475.758 0.114D+02    19.318 0.207D+00    37.204 0.380D+00
   67  142   1492.464 0.107D+02    16.702 0.224D+00    36.020 0.428D+00
   68  142   1510.679 0.100D+02    18.210 0.221D+00    34.912 0.443D+00
   69  142   1526.370 0.939D+01    15.688 0.203D+00    33.898 0.421D+00
   70  142   1543.606 0.882D+01    17.234 0.179D+00    32.921 0.378D+00
   71  142   1558.430 0.832D+01    14.822 0.170D+00    32.056 0.343D+00
   72  142   1574.932 0.789D+01    16.502 0.184D+00    31.324 0.348D+00
   73  142   1588.990 0.755D+01    14.061 0.205D+00    30.563 0.387D+00
   74  142   1604.697 0.729D+01    15.711 0.204D+00    29.771 0.407D+00
   75  142   1618.599 0.700D+01    13.907 0.181D+00    29.617 0.378D+00
   76  142   1633.956 0.658D+01    15.361 0.159D+00    29.268 0.329D+00
   77  142   1646.571 0.593D+01    12.619 0.165D+00    27.980 0.312D+00
   78  142   1660.449 0.511D+01    13.881 0.191D+00    26.500 0.351D+00
   79  142   1671.613 0.423D+01    11.168 0.203D+00    25.049 0.393D+00
   80  142   1684.040 0.334D+01    12.432 0.200D+00    23.600 0.403D+00
   81  142   1693.803 0.251D+01     9.767 0.190D+00    22.199 0.390D+00
   82  142   1703.021 0.175D+01     9.222 0.175D+00    18.989 0.365D+00
   83  142   1711.125 0.111D+01     8.106 0.153D+00    17.328 0.328D+00
   84  142   1721.032 0.634D+00     9.909 0.125D+00    18.015 0.278D+00
   85  142   1728.643 0.390D+00     7.612 0.925D-01    17.521 0.216D+00
   86  142   1737.800 0.384D+00     9.157 0.611D-01    16.769 0.152D+00
   87  142   1744.673 0.429D+00     6.873 0.361D-01    16.030 0.947D-01
   88  142   1753.056 0.428D+00     8.383 0.264D-01    15.256 0.566D-01
   89  142   1759.098 0.393D+00     6.043 0.331D-01    14.425 0.554D-01
   90  142   1766.560 0.375D+00     7.462 0.404D-01    13.504 0.720D-01
   91  142   1771.641 0.410D+00     5.081 0.428D-01    12.543 0.820D-01
   92  142   1778.120 0.482D+00     6.478 0.423D-01    11.559 0.837D-01
   54  143   1207.295 0.130D+02     0.000 0.000D+00     0.000 0.000D+00
   55  143   1233.251 0.127D+02    25.961 0.164D+00     0.000 0.000D+00
   56  143   1259.572 0.122D+02    26.326 0.167D+00    52.287 0.327D+00
   57  143   1283.841 0.117D+02    24.271 0.179D+00    50.598 0.342D+00
   58  143   1308.475 0.112D+02    24.636 0.166D+00    48.907 0.342D+00
   59  143   1331.122 0.112D+02    22.648 0.132D+00    47.284 0.284D+00
   60  143   1354.306 0.115D+02    23.184 0.155D+00    45.832 0.266D+00
   61  143   1375.597 0.121D+02    21.290 0.174D+00    44.474 0.324D+00
   62  143   1397.483 0.125D+02    21.883 0.152D+00    43.173 0.322D+00
   63  143   1417.414 0.127D+02    19.928 0.128D+00    41.811 0.271D+00
   64  143   1437.908 0.126D+02    20.491 0.134D+00    40.419 0.251D+00
   65  143   1456.454 0.122D+02    18.542 0.164D+00    39.033 0.291D+00
   66  143   1475.636 0.117D+02    19.178 0.198D+00    37.720 0.358D+00
   67  143   1492.936 0.110D+02    17.296 0.220D+00    36.474 0.415D+00
   68  143   1510.980 0.103D+02    18.040 0.225D+00    35.336 0.443D+00
   69  143   1527.209 0.963D+01    16.225 0.210D+00    34.265 0.433D+00
   70  143   1544.260 0.905D+01    17.047 0.187D+00    33.272 0.394D+00
   71  143   1559.571 0.854D+01    15.309 0.169D+00    32.357 0.351D+00
   72  143   1575.857 0.810D+01    16.285 0.175D+00    31.595 0.338D+00
   73  143   1590.359 0.775D+01    14.504 0.198D+00    30.789 0.369D+00
   74  143   1605.889 0.748D+01    15.533 0.209D+00    30.036 0.405D+00
   75  143   1620.272 0.725D+01    14.388 0.193D+00    29.920 0.398D+00
   76  143   1635.549 0.694D+01    15.282 0.167D+00    29.669 0.352D+00
   77  143   1648.764 0.642D+01    13.218 0.155D+00    28.500 0.308D+00
   78  143   1662.653 0.568D+01    13.893 0.179D+00    27.112 0.324D+00
   79  143   1674.412 0.482D+01    11.762 0.199D+00    25.656 0.375D+00
   80  143   1686.846 0.394D+01    12.438 0.202D+00    24.200 0.400D+00
   81  143   1697.140 0.309D+01    10.298 0.195D+00    22.736 0.396D+00
   82  143   1706.079 0.228D+01     8.943 0.185D+00    19.241 0.380D+00
   83  143   1714.421 0.156D+01     8.347 0.170D+00    17.290 0.354D+00
   84  143   1724.375 0.951D+00     9.957 0.147D+00    18.303 0.317D+00
   85  143   1732.484 0.528D+00     8.110 0.118D+00    18.067 0.264D+00
   86  143   1741.639 0.372D+00     9.155 0.851D-01    17.265 0.202D+00
   87  143   1748.976 0.414D+00     7.338 0.539D-01    16.493 0.138D+00
   88  143   1757.374 0.451D+00     8.398 0.313D-01    15.736 0.817D-01
   89  143   1763.887 0.434D+00     6.514 0.289D-01    14.912 0.534D-01
   90  143   1771.380 0.403D+00     7.494 0.382D-01    14.008 0.644D-01
   91  143   1776.926 0.412D+00     5.545 0.444D-01    13.040 0.813D-01
   92  143   1783.445 0.472D+00     6.518 0.459D-01    12.063 0.891D-01
   54  144   1204.542 0.132D+02     0.000 0.000D+00     0.000 0.000D+00
   55  144   1230.365 0.128D+02    25.827 0.164D+00     0.000 0.000D+00
   56  144   1257.502 0.123D+02    27.141 0.170D+00    52.968 0.329D+00
   57  144   1281.652 0.117D+02    24.153 0.185D+00    51.294 0.351D+00
   58  144   1307.090 0.112D+02    25.439 0.175D+00    49.592 0.357D+00
   59  144   1329.625 0.111D+02    22.536 0.137D+00    47.975 0.300D+00
   60  144   1353.573 0.114D+02    23.948 0.152D+00    46.484 0.265D+00
   61  144   1374.767 0.119D+02    21.193 0.178D+00    45.142 0.324D+00
   62  144   1397.378 0.124D+02    22.609 0.160D+00    43.802 0.335D+00
   63  144   1417.222 0.127D+02    19.842 0.131D+00    42.450 0.284D+00
   64  144   1438.413 0.127D+02    21.187 0.128D+00    41.029 0.247D+00
   65  144   1456.851 0.124D+02    18.434 0.152D+00    39.622 0.270D+00
   66  144   1476.668 0.119D+02    19.814 0.187D+00    38.248 0.334D+00
   67  144   1493.837 0.112D+02    17.165 0.215D+00    36.979 0.398D+00
   68  144   1512.467 0.105D+02    18.625 0.226D+00    35.790 0.438D+00
   69  144   1528.548 0.986D+01    16.078 0.217D+00    34.703 0.441D+00
   70  144   1546.128 0.927D+01    17.577 0.195D+00    33.654 0.410D+00
   71  144   1561.255 0.875D+01    15.124 0.173D+00    32.700 0.364D+00
   72  144   1578.009 0.830D+01    16.753 0.168D+00    31.877 0.335D+00
   73  144   1592.321 0.793D+01    14.313 0.188D+00    31.066 0.351D+00
   74  144   1608.296 0.765D+01    15.976 0.209D+00    30.290 0.395D+00
   75  144   1622.529 0.745D+01    14.237 0.205D+00    30.213 0.410D+00
   76  144   1638.322 0.722D+01    15.798 0.180D+00    30.035 0.379D+00
   77  144   1651.509 0.683D+01    13.191 0.154D+00    28.989 0.322D+00
   78  144   1666.008 0.620D+01    14.503 0.164D+00    27.694 0.303D+00
   79  144   1677.803 0.539D+01    11.798 0.191D+00    26.301 0.349D+00
   80  144   1690.833 0.453D+01    13.033 0.200D+00    24.831 0.390D+00
   81  144   1701.129 0.368D+01    10.300 0.197D+00    23.334 0.397D+00
   82  144   1710.424 0.284D+01     9.299 0.190D+00    19.600 0.387D+00
   83  144   1718.744 0.206D+01     8.324 0.181D+00    17.623 0.371D+00
   84  144   1729.004 0.137D+01    10.264 0.165D+00    18.588 0.345D+00
   85  144   1737.159 0.805D+00     8.157 0.141D+00    18.421 0.306D+00
   86  144   1746.805 0.453D+00     9.647 0.111D+00    17.805 0.252D+00
   87  144   1754.162 0.391D+00     7.358 0.776D-01    17.005 0.188D+00
   88  144   1763.012 0.453D+00     8.851 0.471D-01    16.209 0.123D+00
   89  144   1769.560 0.474D+00     6.550 0.295D-01    15.401 0.714D-01
   90  144   1777.532 0.452D+00     7.973 0.339D-01    14.522 0.575D-01
   91  144   1783.131 0.438D+00     5.599 0.434D-01    13.572 0.752D-01
   92  144   1790.110 0.474D+00     6.979 0.483D-01    12.578 0.904D-01
   56  145   1254.112 0.124D+02     0.000 0.000D+00     0.000 0.000D+00
   57  145   1279.055 0.118D+02    24.945 0.190D+00     0.000 0.000D+00
   58  145   1304.356 0.112D+02    25.302 0.185D+00    50.247 0.372D+00
   59  145   1327.650 0.110D+02    23.295 0.144D+00    48.597 0.318D+00
   60  145   1351.462 0.112D+02    23.813 0.149D+00    47.108 0.267D+00
   61  145   1373.390 0.117D+02    21.927 0.180D+00    45.740 0.322D+00
   62  145   1395.887 0.122D+02    22.495 0.168D+00    44.422 0.346D+00
   63  145   1416.437 0.126D+02    20.548 0.137D+00    43.043 0.300D+00
   64  145   1437.508 0.127D+02    21.068 0.124D+00    41.616 0.250D+00
   65  145   1456.614 0.125D+02    19.102 0.141D+00    40.170 0.254D+00
   66  145   1476.293 0.121D+02    19.675 0.175D+00    38.778 0.309D+00
   67  145   1494.066 0.115D+02    17.770 0.207D+00    37.445 0.377D+00
   68  145   1512.526 0.108D+02    18.455 0.225D+00    36.225 0.428D+00
   69  145   1529.155 0.101D+02    16.625 0.223D+00    35.080 0.445D+00
   70  145   1546.550 0.948D+01    17.392 0.204D+00    34.017 0.425D+00
   71  145   1562.188 0.894D+01    15.635 0.179D+00    33.027 0.380D+00
   72  145   1578.737 0.848D+01    16.548 0.166D+00    32.182 0.339D+00
   73  145   1593.491 0.810D+01    14.754 0.178D+00    31.302 0.337D+00
   74  145   1609.249 0.780D+01    15.759 0.203D+00    30.513 0.378D+00
   75  145   1623.917 0.760D+01    14.671 0.212D+00    30.430 0.412D+00
   76  145   1639.562 0.744D+01    15.650 0.195D+00    30.320 0.402D+00
   77  145   1653.280 0.717D+01    13.722 0.163D+00    29.371 0.350D+00
   78  145   1667.770 0.665D+01    14.493 0.151D+00    28.215 0.297D+00
   79  145   1680.165 0.593D+01    12.399 0.178D+00    26.892 0.321D+00
   80  145   1693.206 0.510D+01    13.044 0.196D+00    25.443 0.373D+00
   81  145   1704.066 0.426D+01    10.863 0.198D+00    23.907 0.393D+00
   82  145   1713.249 0.342D+01     9.187 0.193D+00    20.051 0.389D+00
   83  145   1722.151 0.261D+01     8.906 0.186D+00    18.094 0.378D+00
   84  145   1732.095 0.186D+01     9.948 0.177D+00    18.854 0.363D+00
   85  145   1740.785 0.119D+01     8.693 0.160D+00    18.641 0.337D+00
   86  145   1750.438 0.680D+00     9.656 0.135D+00    18.349 0.295D+00
   87  145   1758.265 0.421D+00     7.828 0.104D+00    17.484 0.239D+00
   88  145   1767.119 0.437D+00     8.856 0.702D-01    16.683 0.173D+00
   89  145   1774.120 0.499D+00     7.003 0.417D-01    15.858 0.110D+00
   90  145   1782.107 0.508D+00     7.988 0.314D-01    14.991 0.664D-01
   91  145   1788.178 0.492D+00     6.072 0.397D-01    14.060 0.668D-01
   92  145   1795.189 0.502D+00     7.012 0.483D-01    13.084 0.862D-01
   56  146   1251.783 0.125D+02     0.000 0.000D+00     0.000 0.000D+00
   57  146   1276.597 0.119D+02    24.816 0.195D+00     0.000 0.000D+00
   58  146   1302.692 0.112D+02    26.096 0.194D+00    50.912 0.387D+00
   59  146   1325.877 0.109D+02    23.185 0.152D+00    49.281 0.337D+00
   60  146   1350.444 0.111D+02    24.568 0.147D+00    47.753 0.272D+00
   61  146   1372.266 0.115D+02    21.822 0.182D+00    46.390 0.319D+00
   62  146   1395.489 0.121D+02    23.222 0.176D+00    45.043 0.356D+00
   63  146   1415.937 0.125D+02    20.446 0.145D+00    43.668 0.317D+00
   64  146   1437.722 0.126D+02    21.782 0.123D+00    42.228 0.259D+00
   65  146   1456.711 0.126D+02    18.985 0.131D+00    40.767 0.244D+00
   66  146   1477.048 0.122D+02    20.333 0.162D+00    39.319 0.286D+00
   67  146   1494.692 0.117D+02    17.640 0.197D+00    37.974 0.354D+00
   68  146   1513.756 0.110D+02    19.060 0.221D+00    36.700 0.414D+00
   69  146   1530.227 0.103D+02    16.467 0.226D+00    35.527 0.444D+00
   70  146   1548.173 0.968D+01    17.942 0.213D+00    34.409 0.437D+00
   71  146   1563.628 0.913D+01    15.452 0.188D+00    33.394 0.398D+00
   72  146   1580.670 0.866D+01    17.039 0.167D+00    32.492 0.350D+00
   73  146   1595.220 0.826D+01    14.549 0.169D+00    31.589 0.330D+00
   74  146   1611.427 0.794D+01    16.208 0.194D+00    30.757 0.358D+00
   75  146   1625.890 0.773D+01    14.465 0.213D+00    30.673 0.404D+00
   76  146   1641.996 0.760D+01    16.110 0.208D+00    30.575 0.417D+00
   77  146   1655.621 0.742D+01    13.629 0.180D+00    29.739 0.382D+00
   78  146   1670.675 0.704D+01    15.058 0.148D+00    28.687 0.313D+00
   79  146   1683.102 0.642D+01    12.430 0.163D+00    27.488 0.296D+00
   80  146   1696.746 0.564D+01    13.647 0.189D+00    26.077 0.349D+00
   81  146   1707.627 0.482D+01    10.884 0.196D+00    24.531 0.384D+00
   82  146   1717.339 0.399D+01     9.716 0.193D+00    20.600 0.388D+00
   83  146   1726.315 0.318D+01     8.980 0.188D+00    18.697 0.380D+00
   84  146   1736.678 0.239D+01    10.367 0.183D+00    19.348 0.371D+00
   85  146   1745.180 0.166D+01     8.505 0.174D+00    18.872 0.357D+00
   86  146   1755.358 0.103D+01    10.181 0.156D+00    18.686 0.329D+00
   87  146   1763.207 0.586D+00     7.851 0.129D+00    18.032 0.285D+00
   88  146   1772.532 0.439D+00     9.327 0.967D-01    17.178 0.226D+00
   89  146   1779.545 0.502D+00     7.015 0.635D-01    16.342 0.159D+00
   90  146   1788.005 0.556D+00     8.461 0.390D-01    15.477 0.988D-01
   91  146   1794.107 0.562D+00     6.105 0.361D-01    14.566 0.680D-01
   92  146   1801.582 0.560D+00     7.476 0.455D-01    13.580 0.782D-01
   56  147   1248.136 0.127D+02     0.000 0.000D+00     0.000 0.000D+00
   57  147   1273.751 0.120D+02    25.617 0.199D+00     0.000 0.000D+00
   58  147   1299.690 0.113D+02    25.940 0.203D+00    51.557 0.400D+00
   59  147   1323.646 0.109D+02    23.956 0.162D+00    49.896 0.357D+00
   60  147   1348.068 0.109D+02    24.424 0.146D+00    48.379 0.281D+00
   61  147   1370.614 0.114D+02    22.546 0.182D+00    46.970 0.315D+00
   62  147   1393.714 0.119D+02    23.099 0.184D+00    45.645 0.364D+00
   63  147   1414.872 0.124D+02    21.156 0.154D+00    44.255 0.334D+00
   64  147   1436.534 0.126D+02    21.659 0.127D+00    42.816 0.273D+00
   65  147   1456.200 0.126D+02    19.664 0.124D+00    41.323 0.240D+00
   66  147   1476.401 0.123D+02    20.197 0.150D+00    39.860 0.265D+00
   67  147   1494.661 0.118D+02    18.257 0.185D+00    38.454 0.329D+00
   68  147   1513.555 0.112D+02    18.890 0.214D+00    37.147 0.396D+00
   69  147   1530.593 0.105D+02    17.033 0.227D+00    35.924 0.439D+00
   70  147   1548.364 0.988D+01    17.767 0.220D+00    34.801 0.445D+00
   71  147   1564.333 0.931D+01    15.965 0.197D+00    33.733 0.415D+00
   72  147   1581.174 0.883D+01    16.838 0.173D+00    32.804 0.366D+00
   73  147   1596.197 0.841D+01    15.022 0.164D+00    31.860 0.330D+00
   74  147   1612.174 0.808D+01    15.977 0.183D+00    30.999 0.341D+00
   75  147   1627.041 0.784D+01    14.868 0.209D+00    30.846 0.388D+00
   76  147   1642.942 0.771D+01    15.904 0.216D+00    30.773 0.421D+00
   77  147   1657.049 0.761D+01    14.111 0.199D+00    30.016 0.410D+00
   78  147   1672.027 0.736D+01    14.981 0.158D+00    29.093 0.347D+00
   79  147   1685.026 0.685D+01    13.003 0.150D+00    27.984 0.287D+00
   80  147   1698.681 0.615D+01    13.658 0.178D+00    26.660 0.320D+00
   81  147   1710.149 0.536D+01    11.471 0.193D+00    25.129 0.370D+00
   82  147   1719.910 0.455D+01     9.764 0.192D+00    21.235 0.384D+00
   83  147   1729.491 0.374D+01     9.585 0.188D+00    19.349 0.379D+00
   84  147   1739.895 0.295D+01    10.408 0.185D+00    19.993 0.372D+00
   85  147   1748.533 0.218D+01     8.642 0.181D+00    19.050 0.366D+00
   86  147   1758.743 0.147D+01    10.213 0.171D+00    18.855 0.351D+00
   87  147   1767.088 0.892D+00     8.348 0.151D+00    18.561 0.322D+00
   88  147   1776.404 0.540D+00     9.318 0.123D+00    17.666 0.274D+00
