#Utama, Raditya, and Jorge Piekarewicz. "Refining mass formulas for astrophysical applications: A Bayesian neural network approach." Physical Review C 96.4 (2017): 044308.
#DZ10
#   BNN-Refined Duflo-Zuker Model (6931 nuclei)                     
#   -------------------------------------------                     
#    Z    N         B(MeV)              S1p(MeV)            S2p(MeV)
   26   30    491.920 0.588D+00    10.157 0.165D-01    17.912 0.286D-01
   27   30    498.140 0.544D+00     6.220 0.170D-01    16.377 0.325D-01
   28   30    506.638 0.539D+00     8.499 0.138D-01    14.720 0.298D-01
   29   30    510.007 0.503D+00     3.369 0.125D-01    11.869 0.245D-01
   30   30    515.370 0.462D+00     5.362 0.143D-01     8.732 0.255D-01
   31   30    515.450 0.468D+00     0.080 0.146D-01     5.443 0.282D-01
   32   30    517.668 0.490D+00     2.217 0.126D-01     2.298 0.262D-01
   33   30    516.338 0.491D+00    -1.329 0.135D-01     0.888 0.243D-01
   34   30    517.175 0.527D+00     0.837 0.180D-01    -0.492 0.306D-01
   35   30    514.546 0.658D+00    -2.628 0.215D-01    -1.791 0.392D-01
   36   30    514.126 0.848D+00    -0.420 0.224D-01    -3.048 0.437D-01
   37   30    510.301 0.104D+01    -3.825 0.213D-01    -4.245 0.433D-01
   38   30    508.716 0.119D+01    -1.584 0.203D-01    -5.409 0.408D-01
   39   30    503.807 0.132D+01    -4.909 0.219D-01    -6.493 0.411D-01
   40   30    501.264 0.147D+01    -2.543 0.264D-01    -7.452 0.475D-01
   41   30    494.669 0.168D+01    -6.596 0.315D-01    -9.138 0.574D-01
   42   30    490.518 0.196D+01    -4.152 0.355D-01   -10.748 0.666D-01
   44   30    478.150 0.263D+01     0.000 0.000D+00   -12.370 0.808D-01
   20   31    431.433 0.986D+00    15.734 0.550D-01    30.307 0.149D+00
   21   31    443.113 0.703D+00    11.680 0.336D-01    27.414 0.702D-01
   22   31    457.045 0.569D+00    13.931 0.243D-01    25.611 0.516D-01
   23   31    467.656 0.612D+00    10.610 0.234D-01    24.542 0.454D-01
