# Source https://wwwndc.jaea.go.jp/nucldata/mass/KTUY05_m246.dat
# Koura, Hiroyuki, et al. "Nuclidic mass formula on a spherical basis with an improved even-odd term." Progress of theoretical physics 113.2 (2005): 305-325.
#   ZZ   NN   Mcal    Esh alpha2 alpha4 alpha6
   12   27  43.75   0.89  0.043 -0.010 -0.006
   12   28  49.89   0.47  0.011 -0.001  0.000
   12   29  59.18   0.34  0.044  0.011 -0.005
   12   30  66.29   0.14  0.060  0.013 -0.004
   12   31  76.05  -0.14  0.059 -0.014 -0.007
   12   32  83.76  -0.40  0.041 -0.010 -0.005
   12   33  93.83  -0.91  0.010  0.000  0.000
   12   34 102.89  -0.42  0.009  0.000  0.000
   12   35 115.25   0.86  0.058  0.028  0.003
   13    6  56.26  -0.74  0.045  0.006 -0.004
   13    7  42.57  -1.19  0.031 -0.003  0.000
   13    8  25.43  -2.73  0.035  0.003 -0.003
   13    9  17.15  -1.46  0.058 -0.002 -0.007
   13   10   6.45  -0.48  0.072 -0.017 -0.003
   13   11   0.29  -0.11  0.090 -0.019  0.000
   13   12  -8.40  -0.39  0.074 -0.023  0.000
   13   13 -12.57  -1.17  0.073 -0.020  0.000
   13   14 -17.50  -2.19  0.022  0.000  0.000
   13   15 -17.05  -2.15  0.032  0.005  0.000
   13   16 -18.11  -1.91  0.020 -0.001  0.000
   13   17 -15.55  -1.36  0.060  0.003 -0.002
   13   18 -14.86  -1.08  0.077 -0.009 -0.007
   13   19 -11.27  -0.89  0.050 -0.015 -0.003
   13   20  -9.34  -0.86  0.016 -0.001  0.000
   13   21  -4.12  -0.25  0.047  0.008 -0.004
   13   22  -0.61   0.10  0.067 -0.002 -0.008
   13   23   5.23   0.26  0.080 -0.009  0.000
   13   24   9.49   0.24  0.093 -0.021  0.000
   13   25  15.89   0.02  0.089 -0.017 -0.001
   13   26  20.78  -0.35  0.072 -0.017 -0.003
   13   27  27.78  -0.81  0.041 -0.011 -0.005
   13   28  33.29  -1.43  0.011 -0.001  0.000
   13   29  41.41  -1.52  0.031  0.004 -0.001
   13   30  48.26  -1.56  0.039 -0.003 -0.005
   13   31  57.10  -1.60  0.045 -0.002 -0.004
   13   32  64.66  -1.62  0.032 -0.001 -0.006
