#Utama, Raditya, and Jorge Piekarewicz. "Refining mass formulas for astrophysical applications: A Bayesian neural network approach." Physical Review C 96.4 (2017): 044308.
#DZ10
#   BNN-Refined Duflo-Zuker Model (6931 nuclei)                     
#   -------------------------------------------                     
#    Z    N         B(MeV)              S1n(MeV)            S2n(MeV)
   22   52    516.664 0.396D+01     0.073 0.296D-01    -1.330 0.574D-01
   22   53    514.751 0.421D+01    -1.916 0.319D-01    -1.843 0.611D-01
   22   54    514.357 0.446D+01    -0.397 0.335D-01    -2.313 0.651D-01
   22   55    512.085 0.468D+01    -2.274 0.328D-01    -2.670 0.660D-01
   22   56    511.310 0.486D+01    -0.777 0.302D-01    -3.051 0.623D-01
   22   57    508.699 0.497D+01    -2.612 0.288D-01    -3.389 0.579D-01
   22   58    507.488 0.502D+01    -1.211 0.301D-01    -3.823 0.581D-01
   22   59    504.471 0.504D+01    -3.016 0.317D-01    -4.227 0.614D-01
   22   60    502.805 0.503D+01    -1.666 0.315D-01    -4.683 0.629D-01
   22   61    499.385 0.499D+01    -3.420 0.303D-01    -5.086 0.614D-01
   22   62    497.313 0.491D+01    -2.072 0.299D-01    -5.491 0.596D-01
   22   63    493.550 0.479D+01    -3.762 0.314D-01    -5.834 0.606D-01
   22   64    491.137 0.464D+01    -2.412 0.344D-01    -6.174 0.652D-01
   22   66    484.377 0.432D+01     0.000 0.000D+00    -6.757 0.780D-01
   23   13    205.492 0.204D+01     0.000 0.000D+00     0.000 0.000D+00
   23   14    231.304 0.188D+01    25.812 0.703D-02     0.000 0.000D+00
   23   15    252.607 0.168D+01    21.303 0.740D-02    47.115 0.142D-01
   23   16    274.414 0.148D+01    21.807 0.795D-02    43.109 0.152D-01
   23   17    292.798 0.128D+01    18.384 0.842D-02    40.190 0.163D-01
   23   18    312.452 0.109D+01    19.653 0.859D-02    38.037 0.169D-01
   23   19    328.697 0.916D+00    16.244 0.843D-02    35.897 0.170D-01
   23   20    347.035 0.774D+00    18.337 0.802D-02    34.582 0.164D-01
   23   21    360.816 0.665D+00    13.781 0.755D-02    32.118 0.155D-01
   23   22    377.142 0.587D+00    16.325 0.719D-02    30.106 0.146D-01
   23   23    389.823 0.541D+00    12.680 0.698D-02    29.005 0.141D-01
   23   24    403.457 0.524D+00    13.634 0.686D-02    26.313 0.137D-01
   23   25    413.095 0.528D+00     9.637 0.672D-02    23.271 0.135D-01
   23   26    425.555 0.543D+00    12.459 0.650D-02    22.097 0.131D-01
   23   27    434.742 0.558D+00     9.187 0.618D-02    21.646 0.126D-01
   23   28    446.280 0.566D+00    11.537 0.587D-02    20.724 0.119D-01
   23   29    453.226 0.571D+00     6.946 0.595D-02    18.484 0.115D-01
   23   30    461.856 0.583D+00     8.630 0.693D-02    15.576 0.125D-01
   23   31    467.656 0.612D+00     5.801 0.820D-02    14.430 0.148D-01
   23   32    475.028 0.631D+00     7.372 0.833D-02    13.173 0.161D-01
   23   33    479.893 0.608D+00     4.866 0.825D-02    12.238 0.157D-01
   23   34    486.282 0.559D+00     6.389 0.942D-02    11.254 0.169D-01
   23   35    490.483 0.526D+00     4.201 0.981D-02    10.590 0.188D-01
   23   36    496.116 0.516D+00     5.632 0.886D-02     9.833 0.184D-01
   23   37    499.787 0.516D+00     3.671 0.767D-02     9.304 0.162D-01
   23   38    504.774 0.513D+00     4.987 0.684D-02     8.658 0.142D-01
   23   39    507.625 0.504D+00     2.850 0.659D-02     7.837 0.131D-01
   23   40    512.171 0.489D+00     4.546 0.720D-02     7.396 0.134D-01
   23   41    514.497 0.480D+00     2.325 0.881D-02     6.871 0.157D-01
   23   42    518.127 0.498D+00     3.630 0.112D-01     5.955 0.198D-01
   23   43    520.379 0.572D+00     2.251 0.140D-01     5.881 0.250D-01
   23   44    523.841 0.713D+00     3.460 0.167D-01     5.712 0.306D-01
   23   45    525.690 0.913D+00     1.849 0.192D-01     5.309 0.359D-01
   23   46    528.669 0.115D+01     2.978 0.211D-01     4.826 0.402D-01
   23   47    530.601 0.141D+01     1.931 0.223D-01     4.908 0.433D-01
   23   48    533.595 0.168D+01     2.992 0.229D-01     4.923 0.450D-01
   23   49    535.343 0.194D+01     1.747 0.233D-01     4.739 0.460D-01
   23   50    538.707 0.220D+01     3.361 0.242D-01     5.108 0.472D-01
   23   51    538.221 0.245D+01    -0.488 0.260D-01     2.873 0.498D-01
   23   52    538.157 0.271D+01    -0.067 0.289D-01    -0.555 0.546D-01
   23   53    537.212 0.300D+01    -0.947 0.318D-01    -1.015 0.605D-01
   23   54    536.676 0.330D+01    -0.538 0.333D-01    -1.485 0.650D-01
   23   55    535.422 0.360D+01    -1.256 0.324D-01    -1.794 0.654D-01
   23   56    534.504 0.386D+01    -0.919 0.306D-01    -2.175 0.624D-01
   23   57    532.944 0.409D+01    -1.561 0.303D-01    -2.480 0.600D-01
   23   58    531.635 0.429D+01    -1.310 0.316D-01    -2.871 0.614D-01
   23   59    529.729 0.449D+01    -1.906 0.321D-01    -3.216 0.636D-01
   23   60    528.000 0.467D+01    -1.730 0.306D-01    -3.636 0.626D-01
   23   61    525.797 0.484D+01    -2.203 0.275D-01    -3.933 0.578D-01
   23   62    523.711 0.496D+01    -2.086 0.243D-01    -4.289 0.513D-01
   23   63    521.251 0.502D+01    -2.460 0.226D-01    -4.546 0.462D-01
   23   64    518.873 0.503D+01    -2.378 0.234D-01    -4.838 0.452D-01
   23   65    516.198 0.497D+01    -2.674 0.261D-01    -5.053 0.489D-01
   23   66    513.528 0.488D+01    -2.670 0.298D-01    -5.344 0.556D-01
   23   68    507.720 0.462D+01     0.000 0.000D+00    -5.805 0.690D-01
   24   11    147.070 0.213D+01     0.000 0.000D+00     0.000 0.000D+00
   24   12    176.501 0.202D+01    29.430 0.835D-02     0.000 0.000D+00
   24   13    201.506 0.189D+01    25.005 0.826D-02    54.435 0.165D-01
   24   14    228.607 0.175D+01    27.101 0.819D-02    52.106 0.163D-01
   24   15    250.647 0.159D+01    22.040 0.819D-02    49.141 0.162D-01
   24   16    273.789 0.141D+01    23.141 0.833D-02    45.181 0.163D-01
   24   17    292.946 0.123D+01    19.156 0.863D-02    42.298 0.168D-01
   24   18    313.761 0.105D+01    20.814 0.895D-02    39.971 0.175D-01
   24   19    330.817 0.884D+00    17.056 0.907D-02    37.870 0.179D-01
   24   20    350.157 0.749D+00    19.339 0.887D-02    36.395 0.179D-01
   24   21    364.712 0.651D+00    14.554 0.839D-02    33.894 0.172D-01
   24   22    381.853 0.589D+00    17.140 0.780D-02    31.695 0.161D-01
   24   23    395.339 0.558D+00    13.485 0.732D-02    30.626 0.150D-01
   24   24    411.629 0.547D+00    16.289 0.709D-02    29.774 0.143D-01
   24   25    421.909 0.551D+00    10.279 0.705D-02    26.568 0.140D-01
   24   26    435.142 0.563D+00    13.233 0.712D-02    23.512 0.140D-01
   24   27    444.841 0.579D+00     9.698 0.734D-02    22.931 0.143D-01
   24   28    457.141 0.603D+00    12.300 0.795D-02    21.998 0.150D-01
   24   29    464.540 0.639D+00     7.398 0.890D-02    19.698 0.165D-01
   24   30    474.008 0.678D+00     9.468 0.916D-02    16.866 0.177D-01
   24   31    480.205 0.681D+00     6.198 0.824D-02    15.666 0.167D-01
   24   32    488.490 0.626D+00     8.285 0.848D-02    14.482 0.155D-01
   24   33    493.771 0.548D+00     5.281 0.997D-02    13.566 0.177D-01
   24   34    501.169 0.484D+00     7.399 0.104D-01    12.680 0.200D-01
   24   35    505.750 0.447D+00     4.581 0.995D-02    11.980 0.200D-01
   24   36    512.410 0.436D+00     6.660 0.941D-02    11.241 0.191D-01
   24   37    516.404 0.447D+00     3.994 0.876D-02    10.654 0.180D-01
   24   38    522.412 0.469D+00     6.008 0.789D-02    10.003 0.165D-01
   24   39    525.886 0.489D+00     3.474 0.700D-02     9.482 0.147D-01
   24   40    531.460 0.498D+00     5.573 0.664D-02     9.047 0.133D-01
   24   41    533.558 0.495D+00     2.098 0.738D-02     7.671 0.137D-01
